age,balance,currency,daily,drawdown,expectancy,gain,leverage,link,lots,monthly,name,pips,price,profit,profit_factor,rank,trades,won
3.33,127.54,USD, -1.36%,90.42%,1,-74.49%,500 ,https://www.signalstart.com/analysis/big-plus/270586, 10.35, -33.41%,Big Plus,429.6,$99.00,372.46, 0.75,-,435, 80%
1.33,176.19,USD, 1.20%,30.85%,9,60.99%,500 ,https://www.signalstart.com/analysis/cff-trading-team/270570, 1.5, 41.94%,CFF Trading Team,156.6,$150.00,66.75, 3.82,-,32, 91%
1.56,7970.34,USD, 1.74%,29.04%,2,125.46%,500 ,https://www.signalstart.com/analysis/axi-signals/270553, 90.55, 66.59%,Axi Signals,83346.4,$30.00,3797.18, 1.81,-,1695, 83%
1.39,0.0,USD, -15.17%,99.93%,5,-99.90%,500 ,https://www.signalstart.com/analysis/fazza-gold-x/270500, 9.66, -99.21%,Fazza Gold X,-8015.0,$30.00,1611.06, 0.53,-,31, 29%
3.49,3509.86,USD, 1.20%,30.42%,3,250.99%,500 ,https://www.signalstart.com/analysis/eurostable-ea/270471, 40.1, 42.77%,EuroStable EA,1733.8,$70.00,2509.86, 2.76,-,407, 70%
7.79,1174.77,USD, -2.81%,99.98%,9,-99.87%,100 ,https://www.signalstart.com/analysis/gold-war/270453," 2,009.61", -57.40%,Gold War,-546190.0,$30.00,19674.23, 0.92,-,14801, 60%
6.13,2009.26,USD, -0.09%,44.25%,4,-15.63%,500 ,https://www.signalstart.com/analysis/gbpjpy-gold-n-news/270379, 31.19, -2.72%,GBPJPY Gold n News,1581.4,$30.00,366.34, 0.87,-,459, 76%
1.95,6.19,EUR, -3.93%,98.71%,6,-90.60%,500 ,https://www.signalstart.com/analysis/bad-batch/270364, 38.19, -69.48%,Bad Batch,8239.7,$30.00,58.79, 0.92,-,604, 75%
1.59,77112.0,JPY, 0.53%,36.11%,6,28.90%,500 ,https://www.signalstart.com/analysis/medium-scalper/270351, 0.42, 16.89%,Medium Scalper,414.8,$35.00,17288.0, 0,-,14, 100%
2.79,278.67,USD, 1.23%,31.65%,9,178.67%,500 ,https://www.signalstart.com/analysis/goahead/270332, 0.38, 43.71%,GoAhead,12042.8,$75.00,178.67, 64.36,-,38, 92%
1.85,0.89,EUR, -9.83%,99.77%,4,-99.70%,500 ,https://www.signalstart.com/analysis/roadtrip/270307, 3.82, -95.31%,RoadTrip,-722.2,$35.00,224.24, 0.63,-,213, 64%
2.75,5156.09,USC Cent, 0.53%,36.97%,4,55.15%,500 ,https://www.signalstart.com/analysis/hrh-pro-fx/270285, 84.56, 17.03%,HRH PRO FX,2147.6,$35.00,4783.53, 1.65,-,188, 64%
1.66,1.08,USD, -9.52%,99.44%,1,-99.33%,400 ,https://www.signalstart.com/analysis/decent-growth/270279, 1.59, -94.80%,Decent Growth,-1260.4,$40.00,159.78, 0.46,-,138, 64%
2.66,1.98,USD, -0.28%,68.30%,7,-19.92%,500 ,https://www.signalstart.com/analysis/arpal/270255, 29.74, -7.92%,ARPAL,1009.9,$79.00,201.98, 1.26,-,1487, 69%
1.92,0.0,USD, -0.79%,49.83%,6,-37.04%,500 ,https://www.signalstart.com/analysis/fast-exit-auto-gold-live/270250, 38.34, -21.03%,Fast Exit Auto Gold Live,-9231.0,$75.00,507.48, 0.68,-,555, 68%
2.85,0.0,USD, 0.09%,38.04%,8,8.46%,500 ,https://www.signalstart.com/analysis/la-viz/270240, 71.35, 2.85%,La Viz,-38947.0,$50.00,7201.23, 1.39,-,1224, 76%
1.85,165.24,USD, 9.55%,43.78%,180,16424.00%,500 ,https://www.signalstart.com/analysis/harapan-ayang/270226, 0.8, 1385.41%,Harapan Ayang,14400.6,$59.00,164.24, 1.48,-,80, 51%
2.36,744.36,USD, 0.09%,2.82%,10,6.40%,300 ,https://www.signalstart.com/analysis/gean/270196, 0.36, 2.63%,GEAN,169.3,$30.00,44.36, 3.68,-,17, 71%
1.85,1562.39,USD, 2.14%,29.03%,2,227.08%,200 ,https://www.signalstart.com/analysis/master-btcbot/270168, 6.53, 87.02%,Master BTCBOT,115846.0,$49.00,2792.18, 519.99,-,221, 100%
2.07,740.48,USD, -4.11%,97.32%,1,-92.60%,500 ,https://www.signalstart.com/analysis/zaforex786/270122, 232.08, -71.18%,ZAFOREX786,-7433.6,$100.00,9259.52, 0.72,-,165, 82%
12.02,12110.26,EUR, 0.05%,11.93%,6,21.10%,30 ,https://www.signalstart.com/analysis/michalb-2000/270117, 79.43, 1.58%,MichalB 2000,930.8,$30.00,2110.26, 1.35,-,256, 54%
1.95,1151.57,EUR, 1.16%,47.30%,2,97.28%,500 ,https://www.signalstart.com/analysis/audusd-swing-detector-2/270096, 46.97, 40.63%,AUDUSD Swing Detector 2,3001.0,$105.00,651.57, 1.84,-,1336, 62%
10.52,991.56,USD, -0.72%,99.90%,6,-89.84%,500 ,https://www.signalstart.com/analysis/profitsnolimit/270087, 17.37, -19.47%,Profitsnolimit,1210.4,$30.00,82.23, 1.05,-,336, 87%
4.03,483.37,USD, 3.85%,47.63%,9,9567.40%,500 ,https://www.signalstart.com/analysis/aurora777/270082, 4.13, 208.36%,Aurora777,981.8,$69.00,478.37, 12.67,-,90, 90%
1.89,0.01,USD, -0.10%,9.54%,6,-5.72%,500 ,https://www.signalstart.com/analysis/europy-oil/270047, 0.07, -3.01%,Europy Oil,-1173.0,$35.00,11.49, 0.09,-,7, 14%
2.02,83.8,USD, -0.29%,43.42%,6,-16.21%,500 ,https://www.signalstart.com/analysis/jagex-x-smitefx/270035, 0.46, -8.36%,Jagex x SmiteFX,-75.7,$30.00,16.2, 0.82,-,46, 57%
2.26,1443.47,USD, 1.57%,10.17%,8,188.69%,100 ,https://www.signalstart.com/analysis/exit/270031, 13.8, 58.79%,EXIT,297.8,$30.00,943.47, 3.69,-,37, 54%
1.89,0.0,USD, 0.16%,35.00%,2,9.63%,400 ,https://www.signalstart.com/analysis/az-stable-profit-tracker/269998, 7.17, 4.89%,AZ STABLE PROFIT TRACKER,-37.7,$30.00,98.29, 1.42,-,166, 62%
2.3,1331.42,USD, 2.24%,99.08%,7,361.52%,500 ,https://www.signalstart.com/analysis/lotusus-ecn-fxopen-mt4/269932, 0.28, 92.99%,Lotusus ECN FXOpen MT4,1895.1,$30.00,131.42, 0,-,28, 100%
7.23,0.0,USD, -0.03%,82.20%,2,-5.95%,200 ,https://www.signalstart.com/analysis/pro-trader-s/269908, 19.49, -0.84%,Pro Trader S,33671.4,$30.00,236.43, 0.96,-,494, 68%
3.59,32.11,USD, -0.99%,66.47%,6,-65.85%,500 ,https://www.signalstart.com/analysis/ahmed86/269903, 23.71, -25.65%,Ahmed86,-27823.0,$75.00,467.89, 0.55,-,40, 38%
2.07,1229.49,EUR, 3.38%,43.04%,6,685.84%,500 ,https://www.signalstart.com/analysis/relaxing-gain/269882, 10.63, 167.80%,RELAXING GAIN,3459.7,$160.00,1807.08, 4.61,-,404, 70%
2.07,3.93,USD, -5.10%,96.11%,5,-96.11%,500 ,https://www.signalstart.com/analysis/safa-alzena/269820, 0.73, -78.82%,SAFA ALZENA,-492.0,$30.00,97.21, 0.26,-,8, 25%
2.07,0.0,USD, 0.76%,84.87%,220,59.60%,500 ,https://www.signalstart.com/analysis/account-recovery/269818, 9.53, 25.03%,Account Recovery,2640.0,$30.00,1913.75, 4.13,-,12, 67%
4.23,3331.42,USD, -0.06%,33.41%,5,-7.90%,500 ,https://www.signalstart.com/analysis/perakian-hfm-pro/269821, 14, -1.91%,Perakian HFM Pro,-2434.7,$75.00,409.58, 0.87,-,702, 65%
3.07,1.28,USD, 0.77%,87.03%,3,101.90%,500 ,https://www.signalstart.com/analysis/golden-goose/269750, 7.46, 25.50%,Golden goose,6528.5,$50.00,116.18, 1.16,-,357, 80%
2.26,98884.24,USC Cent, 1.35%,60.87%,1,148.33%,500 ,https://www.signalstart.com/analysis/trinity-dream/269746, 866.38, 48.69%,Trinity Dream,27704.9,$99.00,58884.24, 2.45,-,13337, 71%
3.07,4159.82,USD, 0.18%,87.86%,6,18.09%,100 ,https://www.signalstart.com/analysis/gold-ii/269738, 10.16, 5.52%,Gold ii,5584.0,$450.00,796.31, 0.87,-,731, 62%
2.36,46.29,USD, -1.08%,73.79%,7,-53.71%,500 ,https://www.signalstart.com/analysis/spyder-x-smitefx/269699, 0.48, -27.52%,Spyder x SmiteFX,-5170.0,$30.00,53.71, 0.71,-,48, 56%
3.46,64.09,USD, -0.08%,63.15%,5,-8.46%,500 ,https://www.signalstart.com/analysis/smitefx-x-chasm/269697, 1.64, -2.50%,SmiteFX x CHASM,2055.0,$30.00,4.09, 1.02,-,164, 87%
2.26,81.56,USD, -0.04%,41.47%,2,-2.82%,500 ,https://www.signalstart.com/analysis/hasan-raza/269647, 2.1, -1.24%,Hasan Raza,4562.1,$50.00,1.06, 1.01,-,34, 44%
2.79,803.25,USD, 2.68%,27.20%,2,824.12%,500 ,https://www.signalstart.com/analysis/amd-trader/269613, 10.18, 119.64%,AMD Trader,-1425.8,$49.00,2883.12, 7.43,-,140, 66%
3.56,0.0,USD, 0.18%,7.15%,4,21.43%,400 ,https://www.signalstart.com/analysis/mashur/269561, 0.56, 5.55%,MASHUR,413.2,$30.00,42.87, 2.09,-,56, 50%
2.39,95.01,USD, -6.43%,99.89%,33,-99.17%,500 ,https://www.signalstart.com/analysis/investment-forex/269528, 41.26, -86.10%,Investment Forex,12090.7,$40.00,1962.74, 1.49,-,366, 68%
9.79,0.0,USD, 1.25%,94.69%,1,3753.57%,500 ,https://www.signalstart.com/analysis/cashflowfellows-guru/269515, 64.78, 45.01%,CashFlowFellows Guru,14936.4,$75.00,5033.84, 3.37,-,2105, 73%
23.0,14762.7,USD, 0.41%,40.47%,1,1784.47%,500 ,https://www.signalstart.com/analysis/golden-wall/269510, 141.77, 12.96%,Golden Wall,16740.0,$100.00,9262.7, 2.12,-,229, 66%
11.49,9315.36,USC Cent, 0.07%,13.30%,43,28.69%,500 ,https://www.signalstart.com/analysis/mrcandle-marhein/269444, 12.6, 2.21%,MrCandle Marhein,-11451.0,$50.00,48.87, 1.02,-,266, 58%
4.2,2890.99,USD, 0.95%,21.91%,1,230.28%,500 ,https://www.signalstart.com/analysis/special-xauusd-highrisk/269424, 9.72, 32.67%,Special XAUUSD HIGHRISK,50604.5,$70.00,2582.75, 3.16,-,186, 70%
3.92,0.34,GBP, 0.00%,17.57%,7,-0.41%,500 ,https://www.signalstart.com/analysis/monibase-safe/269405, 975.81, -0.10%,Monibase Safe,-22430.8,$50.00,4885.31, 1.08,-,755, 58%
7.33,7.97,USD Cent, -0.45%,71.98%,9,-62.95%,500 ,https://www.signalstart.com/analysis/astrofund/269372, 252.9, -12.62%,AstroFund,-458.4,$100.00,16453.08, 0.56,-,58, 38%
10.66,1798.33,USD, 0.92%,42.39%,9,1773.07%,500 ,https://www.signalstart.com/analysis/ra-ai/269333, 13.86, 31.53%,Ra AI,1034.9,$37.00,1847.9, 3.89,-,358, 68%
3.02,4.39,USD, -5.19%,99.49%,5,-99.17%,500 ,https://www.signalstart.com/analysis/good-gold/269318, 2.28, -79.49%,The Good Gold,-6368.2,$50.00,525.61, 0.54,-,143, 66%
