age,daily,drawdown,gain,link,monthly,name,pips,price,profit_factor,rank,trades,type,won
1.03, -0.31%,27.5%,-9.24%,https://www.signalstart.com/analysis/energia-dinamica/118018, -8.89%,ENERGIA DINAMICA,562.7,$39, 0.81,-,77,Real, 48%
1.33, 2.07%,90.6%,127.08%,https://www.signalstart.com/analysis/big-short/125697, 84.24%,Big short,-406.1,$30, 1.3,-,184,Real, 78%
17.0, -1.32%,99.9%,-99.9%,https://www.signalstart.com/analysis/numero-uno/51464, -32.85%,Numero Uno,-481.2,$30, 0.42,-,527,Real, 57%
1.59, 4.10%,71.9%,587.72%,https://www.signalstart.com/analysis/pr0fitable/118802, 231.52%,Pr0fitable,-7.8,$36, 1.25,-,73,Real, 82%
13.0, -1.64%,99.9%,-99.86%,https://www.signalstart.com/analysis/grand-capital-mix/57101, -39.05%,Grand Capital Mix,"-1,211.6",$75, 0.51,-,524,Real, 57%
12.26, -1.77%,100%,-99.87%,https://www.signalstart.com/analysis/signalyorpanprofit/56598, -41.47%,SignalYorpanProfit,"2,109.8",$37, 0.79,-,461,Real, 61%
50.0, 0.09%,52.2%,283.96%,https://www.signalstart.com/analysis/dominator/9292, 2.66%,Dominator,"8,979.9",$66, 1.41,397,4995,Real, 76%
13.0, -1.64%,99.9%,-99.87%,https://www.signalstart.com/analysis/richthegreat/57876, -39.05%,Richthegreat,"-19,526.1",$30, 0.61,-,826,Real, 75%
3.33, -0.69%,100%,-50.04%,https://www.signalstart.com/analysis/perpetuity888/96535, -18.75%,Perpetuity888,"15,987.3",$30, 0.94,-,925,Real, 77%
1.16, 1.95%,78.5%,96.57%,https://www.signalstart.com/analysis/zoom-balance/116758, 77.71%,Zoom Balance,"22,996.6",$50, 1.12,-,4372,Real, 57%
15.0, -1.29%,100%,-99.79%,https://www.signalstart.com/analysis/gann-for-real/61969, -32.23%,Gann for Real,"13,656.2",$30, 0.85,-,694,Real, 45%
3.43, -0.20%,34.8%,-18.26%,https://www.signalstart.com/analysis/hdfx-trading/101904, -5.69%,HDFX Trading,"-1,756.3",$30, 0.58,-,145,Real, 74%
47.0, 0.04%,58.3%,67.39%,https://www.signalstart.com/analysis/price-action-fxpig/7953, 1.08%,Price Action FXPig,"72,595.7",$49, 1.06,404,26263,Real, 52%
0.3, 0.86%,1.3%,7.97%,https://www.signalstart.com/analysis/gold-trader-ii/130842, 7.97%,Gold Trader II,"4,033",$35, 11.61,-,31,Real, 94%
14.0, -0.03%,57.2%,-14.14%,https://www.signalstart.com/analysis/rabbit/55322, -1.03%,the rabbit,121.8,$30, 0.94,-,140,Real, 49%
10.36, -2.20%,100%,-99.9%,https://www.signalstart.com/analysis/wagura-john/66329, -48.61%,wagura JOHN,"-20,449.3",$30, 0.62,-,1766,Real, 68%
0.7, 0.11%,2.6%,2.25%,https://www.signalstart.com/analysis/swing-trader-1/130072, 2.25%,Swing Trader 1,285.6,$50, 1.29,-,49,Real, 55%
4.26, -0.02%,14.1%,-2.25%,https://www.signalstart.com/analysis/tfx-signals/85531, -0.53%,TFX Signals,100,$90, 0.96,-,142,Real, 58%
2.49, 2.31%,75.9%,454.3%,https://www.signalstart.com/analysis/fx-money-maker-ii/129561, 97.90%,FX Money Maker II,"2,493.5",$50, 2.38,-,393,Real, 75%
0.66, -24.01%,99.9%,-99.59%,https://www.signalstart.com/analysis/profitable-trading/124451, -99.59%,Profitable Trading,"9,219.3",$30, 2.81,-,475,Real, 81%
0.5, 0.41%,9.1%,6.29%,https://www.signalstart.com/analysis/imperator/125732, 6.29%,Imperator,212,$99, 1.1,-,19,Real, 63%
1.26, 1.19%,24.7%,56.98%,https://www.signalstart.com/analysis/prospect-infinity/122148, 42.41%,PROSPECT INFINITY,373.1,$79, 1.24,-,583,Real, 67%
14.0, -0.17%,76.4%,-52.05%,https://www.signalstart.com/analysis/cw-signals/66599, -4.96%,CW Signals,"3,311.6",$30, 1,-,1600,Real, 52%
27.0, -0.82%,99.9%,-99.9%,https://www.signalstart.com/analysis/archaxi/55840, -21.77%,ArchAxi,"-218,593.4",$75, 0.38,-,575,Real, 55%
1.36, -12.12%,99.9%,-99.5%,https://www.signalstart.com/analysis/global-gold/131360, -97.87%,Global Gold,710,$30, 1.04,-,454,Real, 44%
1.66, 6.10%,93%,"1,832.69%",https://www.signalstart.com/analysis/ddpips-forex-automated/113447, 485.65%,DDPIPS Forex Automated,"1,849",$30, 13.43,-,178,Real, 86%
5.59, -3.78%,100%,-99.85%,https://www.signalstart.com/analysis/super-scalper/78629, -68.51%,SUPER SCALPER,"-36,837.7",$199, 0.78,-,2905,Real, 82%
11.03, -1.17%,98.9%,-97.94%,https://www.signalstart.com/analysis/eurusd-1h-m/58664, -29.63%,EURUSD 1H M,-18.9,$30, 0.83,-,303,Real, 78%
2.52, -8.69%,100%,-99.9%,https://www.signalstart.com/analysis/hope-future/102184, -93.39%,Hope and a future,"15,809.6",$30, 1.21,-,590,Real, 83%
11.95, -0.02%,34.2%,-7.24%,https://www.signalstart.com/analysis/prmsystem/66855, -0.63%,PRMSystem,"-3,712.6",$30, 0.95,-,282,Real, 81%
9.69, -0.12%,91.5%,-29.15%,https://www.signalstart.com/analysis/kratco/82206, -3.49%,Kratco,"15,792.8",$200, 0.94,-,624,Real, 72%
1.43, -0.77%,44.3%,-28.18%,https://www.signalstart.com/analysis/forex-heaven/122127, -20.51%,Forex Heaven,-707.8,$65, 0.76,-,603,Real, 62%
16.0, -0.02%,29.9%,-10.33%,https://www.signalstart.com/analysis/top-legacy-fx/52010, -0.64%,Top Legacy FX,485.9,$50, 0.91,-,1034,Real, 62%
9.07, 1.21%,74.2%,"2,561.41%",https://www.signalstart.com/analysis/gauntlet/66847, 43.56%,Gauntlet,"98,398.1",$64, 25.46,-,269,Real, 96%
0.6, 1.96%,15.2%,41.93%,https://www.signalstart.com/analysis/pipsboy-premium/131087, 41.93%,PipsBoy Premium,"-23,301.9",$75, 1.86,-,117,Real, 52%
1.2, -0.05%,47.6%,-1.85%,https://www.signalstart.com/analysis/algo-trading-group/116268, -1.53%,Algo Trading Group,"3,100.3",$75, 0.98,-,747,Real, 72%
0.96, -3.19%,74%,-60.9%,https://www.signalstart.com/analysis/rehoboth-a7/119082, -60.90%,Rehoboth A7,2.7,$30, 0.51,-,70,Real, 83%
13.0, -0.08%,46.8%,-27.87%,https://www.signalstart.com/analysis/jedi/57102, -2.31%,Jedi,-484.5,$30, 1.05,-,54,Real, 63%
2.07, -0.21%,54%,-12.12%,https://www.signalstart.com/analysis/balenciaga/109065, -6.04%,Balenciaga,"-2,391.6",$50, 1.12,-,1676,Real, 67%
8.56, 1.73%,60.7%,"8,205.44%",https://www.signalstart.com/analysis/fx-know-how/89353, 67.42%,FX KNOW HOW,"47,563.5",$75, 2.27,-,480,Real, 69%
1.01, 2.37%,31.7%,101.84%,https://www.signalstart.com/analysis/mersedes/125704, 100.60%,MERSEDES,75.1,$45, 149.68,-,18,Real, 94%
8.43, -0.09%,48.3%,-20.78%,https://www.signalstart.com/analysis/dxlxmxwx-coop/88366, -2.72%,DxLxMxWx Coop,"97,765.1",$100, 1,-,1495,Real, 74%
20.0, -0.01%,48.4%,-7.29%,https://www.signalstart.com/analysis/hightrendtrading/55341, -0.36%,HighTrendTrading,"1,892.6",$30, 0.99,-,2448,Real, 73%
12.03, -0.15%,89.4%,-42.47%,https://www.signalstart.com/analysis/fxpolly-swing/64053, -4.43%,FxPolly Swing,"-7,485.1",$49, 0.9,-,97,Real, 37%
32.0, -0.04%,88.1%,-31.35%,https://www.signalstart.com/analysis/long-term-trading/66610, -1.16%,Long term trading,"1,089.8",$45, 1.39,-,81,Real, 98%
1.89, 1.24%,50.6%,102.39%,https://www.signalstart.com/analysis/nbaternajr-financial-system/113160, 44.68%,NbaternaJr Financial System,"2,768.2",$500, 46.61,-,346,Real, 100%
0.73, 5.56%,81.1%,228.58%,https://www.signalstart.com/analysis/kuberaforpresident/127237, 228.58%,KuberaforPresident,145.9,$30, 1.4,-,81,Real, 69%
12.39, -0.17%,86%,-47.56%,https://www.signalstart.com/analysis/insomnia/61699, -5.00%,insomnia,"56,573.9",$30, 3.38,-,415,Real, 53%
1.92, -1.61%,88.2%,-60.96%,https://www.signalstart.com/analysis/ea-nagabonar/114742, -38.39%,EA Nagabonar,176.6,$35, 1.12,-,58,Real, 50%
2.26, -6.93%,100%,-99.24%,https://www.signalstart.com/analysis/armed/113923, -88.31%,Armed,"939,233.5",$75, 1,-,180,Real, 77%
3.07, 0.36%,30.6%,38.56%,https://www.signalstart.com/analysis/forexpress-mt4/112355, 11.19%,FOREXPRESS MT4,"1,492.5",$45, 1.15,438,204,Real, 41%
3.43, 1.35%,61.3%,299.08%,https://www.signalstart.com/analysis/mercury-gbpusd-r5/107063, 49.49%,MERCURY GBPUSD R5,112.2,$75, 1.35,-,30,Real, 80%
2.66, 5.85%,64%,"9,331.53%",https://www.signalstart.com/analysis/daily-trader-bbma/111928, 447.05%,Daily Trader with BBMA,"14,905.8",$250, 9.64,-,685,Real, 87%
21.0, 0.12%,89.8%,117.24%,https://www.signalstart.com/analysis/good-scalp-ecn/62004, 3.67%,Good Scalp ECN,-49.8,$39, 1.12,436,609,Real, 70%
16.0, 0.23%,93.9%,204.09%,https://www.signalstart.com/analysis/lion/61681, 7.01%,Lion,670,$59, 1,435,343,Real, 87%
49.0, -0.32%,100%,-99.15%,https://www.signalstart.com/analysis/extrader/7224, -9.04%,extrader,"-29,352.9",$30, 0.77,-,1448,Real, 79%
24.46, 0.17%,95.4%,257.69%,https://www.signalstart.com/analysis/traderjoe/36119, 5.27%,TraderJoe,"4,187.6",$90, 1.25,434,503,Real, 69%
3.89, -1.58%,87.4%,-84.43%,https://www.signalstart.com/analysis/best-esma-trading/88121, -37.86%,Best of ESMA Trading,"-3,295.7",$49, 0.68,-,654,Real, 68%
1.13, 3.62%,52.5%,234.85%,https://www.signalstart.com/analysis/signaluistin/130618, 188.09%,Signaluistin,"2,035.4",$100, 65.84,-,69,Real, 96%
18.0, 0.00%,91.2%,1.77%,https://www.signalstart.com/analysis/blackbull1/98131, 0.09%,BlackBull1,"1,160",$30, 1.04,433,335,Real, 44%
14.0, 0.50%,80.7%,809.54%,https://www.signalstart.com/analysis/moneybox/63130, 16.23%,MoneyBox,479.3,$60, 1.28,432,192,Real, 88%
21.0, -0.20%,92.6%,-72.63%,https://www.signalstart.com/analysis/shareholder-ii/36667, -5.87%,Shareholder II,-205,$65, 0.71,-,46,Real, 80%
9.82, 0.07%,63.1%,24.46%,https://www.signalstart.com/analysis/5pourcentparmois/71748, 2.25%,5pourcentparmois,908.6,$33, 1.33,427,147,Real, 90%
8.49, 0.47%,95.8%,228.67%,https://www.signalstart.com/analysis/snow-socks/71279, 15.01%,Snow Socks,"23,996.6",$45, 1.17,424,311,Real, 99%
