age,daily,drawdown,gain,link,monthly,name,pips,price,profit_factor,rank,trades,type,won
3.26, 0.12%,32.6%,11.98%,https://www.signalstart.com/analysis/super-dragon/105831, 3.51%,Super Dragon,"-9,373.7",$30, 1.09,348,923,Real, 85%
2.59, 0.16%,22.5%,12.98%,https://www.signalstart.com/analysis/mtc-invest-copy/115386, 4.77%,MTC Invest Copy,-92.1,$250, 0.94,231,196,Real, 77%
3.03, 0.12%,91.4%,11.89%,https://www.signalstart.com/analysis/brazuka-money-gain/106566, 3.75%,Brazuka Money Gain,"42,449.7",$30, 1.02,412,198,Real, 70%
0.47, 0.84%,18.7%,12.47%,https://www.signalstart.com/analysis/lunnihslowsafeprofit/142609, 12.47%,LunnihSlowSafeProfit,"-5,790.3",$30, 1.38,206,365,Real, 84%
24.26, 0.01%,73.8%,11.61%,https://www.signalstart.com/analysis/fcg/53575, 0.45%,FCG,"15,705.5",$30, 0.96,187,1631,Real, 67%
2.26, 0.17%,10.9%,12.22%,https://www.signalstart.com/analysis/pipsclub/131479, 5.18%,PIPSCLUB,"1,093.8",$30, 0,41,46,Real, 100%
1.43, 0.25%,19.7%,11.49%,https://www.signalstart.com/analysis/imperator/125732, 7.79%,Imperator,"100,834.2",$99, 1.18,212,379,Real, 76%
4.03, 0.09%,11.5%,11.21%,https://www.signalstart.com/analysis/bridge/99615, 2.66%,Bridge,"1,399.2",$39, 1.35,258,65,Real, 75%
1.39, 0.25%,17.2%,11.16%,https://www.signalstart.com/analysis/long-term-diversification/143365, 7.76%,Long Term Diversification,"1,149.6",$30, 1.33,179,120,Real, 51%
7.75, 0.04%,8.1%,11.01%,https://www.signalstart.com/analysis/good-trend/132669, 1.35%,Good Trend,"-6,739.1",$50, 1.14,183,1072,Real, 73%
0.77, 0.45%,10.3%,10.81%,https://www.signalstart.com/analysis/0-stress-retire-fx-signals/133607, 10.81%,0 Stress Retire FX Signals,408.3,$99, 1.4,143,64,Real, 69%
3.23, 0.10%,3%,10.66%,https://www.signalstart.com/analysis/blue-system/118151, 3.17%,Blue System,"13,320",$99, 3.23,77,539,Real, 79%
1.23, 0.27%,43.7%,10.51%,https://www.signalstart.com/analysis/linlit-ea/130905, 8.33%,LinLit EA,-39.3,$30, 1.06,316,47,Real, 47%
7.02, 0.05%,75.1%,10.72%,https://www.signalstart.com/analysis/gbpusd-signals/96150, 1.46%,GBPUSD Signals,"-28,102.3",$30, 1.1,409,510,Real, 68%
3.89, 0.08%,2.4%,10.07%,https://www.signalstart.com/analysis/long-term-investment/105446, 2.48%,Long term investment,"9,079.5",$35, 2.25,94,1241,Real, 81%
1.13, 0.28%,4.2%,10.05%,https://www.signalstart.com/analysis/forex-wizardz-master/142742, 8.69%,Forex Wizardz Master,562.9,$75, 2.16,92,155,Real, 64%
53.0, 0.01%,57.6%,10.86%,https://www.signalstart.com/analysis/robosoft/15964, 0.19%,RoboSoft,"-1,034.7",$35, 1.08,73,1742,Real, 72%
2.95, 0.11%,8.9%,10.17%,https://www.signalstart.com/analysis/expert-5/111669, 3.30%,Expert 5,"1,211,482.2",$30, 1.95,139,2515,Real, 78%
22.0, 0.01%,13.1%,9.82%,https://www.signalstart.com/analysis/dmj/57651, 0.41%,DMJ,947,$75, 0.99,303,454,Real, 47%
2.82, 0.10%,12.4%,9.3%,https://www.signalstart.com/analysis/follow-me-168/111256, 3.17%,Follow Me 168,"2,029.6",$85, 1.51,172,181,Real, 81%
0.28, 1.12%,4.3%,9.3%,https://www.signalstart.com/analysis/forex-wizardz-tycheea/142763, 9.30%,Forex Wizardz TycheEA,611.5,$75, 10.9,55,60,Real, 82%
76.0, 0.00%,45.3%,9.07%,https://www.signalstart.com/analysis/surgefx/125991, 0.11%,SurgeFX,"2,839.6",$30, 1.16,386,1181,Real, 73%
7.2, 0.04%,91.4%,9.05%,https://www.signalstart.com/analysis/fxoknarg/66900, 1.21%,FXoknarg,"1,440.3",$30, 10.09,425,27,Real, 85%
1.95, 0.15%,73%,8.98%,https://www.signalstart.com/analysis/1mscalping/118109, 4.43%,1MScalping,-341.7,$30, 1.16,388,1028,Real, 62%
0.54, 0.53%,7.9%,8.81%,https://www.signalstart.com/analysis/star-pips/138717, 8.81%,STAR PIPS,145.8,$30, 0,-,1,Real, 100%
